Date,"img_urls",image,text,"Text_Predict","Image_Predict",Predict,data
"2021-05-03",,,"an impassioned defence (and explanation) of the public health pilots that took place in liverpool this weekend. it's not surprising after the year we've had that some people will feel uncomfortable with them but this is a detailed, well argued explanation of the role they play.",,,WELLNESS,"impassioned defence explanation public health pilot took place liverpool weekend surprising year people feel uncomfortable detailed well argued explanation role play"
"2021-05-03",,,"covid: music fans take part in pilot concert with blossoms -  https://t.co/cwmzj4xo07  five-thousand music fans attended a pilot concert held in a big top in liverpool and headlined by blossoms. sunday’s mini-festival in liverpool’s sefton park was one of the governme...",,,ENTERTAINMENT,"covid music fan take part pilot concert blossom five thousand music fan attended pilot concert held big top liverpool headlined blossom sunday mini festival liverpool sefton park one governme"
"2021-05-03",,,"feels a bit more like normal seeing peoples' ig stories at the liverpool pilot festival and pressing skip twenty times on their shaky footage  https://t.co/ujpcojsm8g",,,ENTERTAINMENT,"feel bit like normal seeing people ig story liverpool pilot festival pressing skip twenty time shaky footage"
"2021-05-03","https://pbs.twimg.com/media/E0doUPXWYAI6u64.png",Black,"feels a bit more like normal seeing peoples' ig stories at the liverpool pilot festival and pressing skip twenty times on their shaky footage  https://t.co/ujpcojsm8g",,,ENTERTAINMENT,"feel bit like normal seeing people ig story liverpool pilot festival pressing skip twenty time shaky footage"
"2021-05-03",,,"@michaelmina_lab also the study in progress with the pilot concert in liverpool. 5000 fans, lateral flow test 24 hours before event, and another 5 days after the event.  https://t.co/y2py5pdb9k",,,ENTERTAINMENT,"michaelmina_lab also study progress pilot concert liverpool  fan lateral flow test  hour event another  day event"
"2021-05-03",,,"📢 festival news: a pilot festival brought live music back to the uk, with @blossomsband @thelathums and @thisiszuzu playing to 5,000 people in liverpool    https://t.co/8zga7fshnn",,,ENTERTAINMENT,"festival news pilot festival brought live music back uk blossomsband thelathums thisiszuzu playing   people liverpool"
"2021-05-03",,,"amazing to see the happiness, relief and positive energy flowing again at the pilot test gig in liverpool last night  https://t.co/d6hihdq4ka",,,WELLNESS,"amazing see happiness relief positive energy flowing pilot test gig liverpool last night"
"2021-05-03","https://pbs.twimg.com/media/E0dVTq7XEAAyUvc.jpg","White Latino_Hispanic","amazing to see the happiness, relief and positive energy flowing again at the pilot test gig in liverpool last night  https://t.co/d6hihdq4ka",,,WELLNESS,"amazing see happiness relief positive energy flowing pilot test gig liverpool last night"
"2021-05-03","https://pbs.twimg.com/media/E0dU6hcXIAIBpkg.jpg","White Middle Eastern East Asian","amazing to see the happiness, relief and positive energy flowing again at the pilot test gig in liverpool last night  https://t.co/d6hihdq4ka",,,WELLNESS,"amazing see happiness relief positive energy flowing pilot test gig liverpool last night"
"2021-05-03","https://pbs.twimg.com/media/E0dU6hgWUAEecf6.jpg","Middle Eastern","amazing to see the happiness, relief and positive energy flowing again at the pilot test gig in liverpool last night  https://t.co/d6hihdq4ka",,,WELLNESS,"amazing see happiness relief positive energy flowing pilot test gig liverpool last night"
"2021-05-03","https://pbs.twimg.com/media/E0dU6hYWEAAcLxN.jpg","White Middle Eastern","amazing to see the happiness, relief and positive energy flowing again at the pilot test gig in liverpool last night  https://t.co/d6hihdq4ka",,,WELLNESS,"amazing see happiness relief positive energy flowing pilot test gig liverpool last night"
"2021-05-03",,,"hi everyone! if you or anyone you know attended the pilot gig in liverpool last night and would be happy to answer a couple of questions about it over dm pls message me! it’s for my journalism course",,,ENTERTAINMENT,"hi everyone anyone know attended pilot gig liverpool last night would happy answer couple question dm pls message journalism course"
"2021-05-03",,,"see photos, footage and reaction from blossoms' pilot gig in liverpool - nme  https://t.co/pfby46cirj",,,WORLDPOST,"see photo footage reaction blossom pilot gig liverpool nme"
"2021-05-03",,,"i always like being on p3 - sharing the honour with @davesimps0n today (and @blossomsband @thisiszuzu @thelathums). top night in liverpool at the sefton park pilot.  https://t.co/ovkoc0nbje",,,ENTERTAINMENT,"always like p sharing honour davesimpsn today blossomsband thisiszuzu thelathums top night liverpool sefton park pilot"
"2021-05-03",,,"liverpool’s director of public health @dph_mashton told us why yesterday’s gig in sefton park and the events pilot as a whole was so important. 👇  https://t.co/akb4xvzqmz",,,ENTERTAINMENT,"liverpool director public health dph_mashton told u yesterday gig sefton park event pilot whole important"
"2021-05-03",,,"fantastic pilot event in liverpool last night. great work from @frfestivals, the city of liverpool and @dcms on what will hopefully be a huge milestone in bringing festivals back. thank you.#seftonparkpilot  🎪  https://t.co/q3xdtb60ty",,,TRAVEL,"fantastic pilot event liverpool last night great work frfestivals city liverpool dcms hopefully huge milestone bringing festival back thank seftonparkpilot"
"2021-05-03","https://pbs.twimg.com/media/E0cmUUwXIAArfnD.jpg","Middle Eastern White","fantastic pilot event in liverpool last night. great work from @frfestivals, the city of liverpool and @dcms on what will hopefully be a huge milestone in bringing festivals back. thank you.#seftonparkpilot  🎪  https://t.co/q3xdtb60ty",,,TRAVEL,"fantastic pilot event liverpool last night great work frfestivals city liverpool dcms hopefully huge milestone bringing festival back thank seftonparkpilot"
"2021-05-03","https://pbs.twimg.com/media/E0cmAj5XEAANyFR.jpg","Black Middle Eastern White Latino_Hispanic Indian","fantastic pilot event in liverpool last night. great work from @frfestivals, the city of liverpool and @dcms on what will hopefully be a huge milestone in bringing festivals back. thank you.#seftonparkpilot  🎪  https://t.co/q3xdtb60ty",,,TRAVEL,"fantastic pilot event liverpool last night great work frfestivals city liverpool dcms hopefully huge milestone bringing festival back thank seftonparkpilot"
"2021-05-03",,,"see photos, footage and reaction from blossoms’ pilot gig in liverpool  https://t.co/flu9jd8bud",,,WORLDPOST,"see photo footage reaction blossom pilot gig liverpool"
"2021-05-03",,,"@nickturnerdj @northwalescom @broadwayboulev another dj thats sensible waiting for the right time for the clubs to reopen and banging those lost 2 years years of dance tunes .... good on ya pal .... not like the first nightclub pilot event in liverpool which in my option it was wrong ....",,,ENTERTAINMENT,"nickturnerdj northwalescom broadwayboulev another dj thats sensible waiting right time club reopen banging lost  year year dance tune good ya pal like first nightclub pilot event liverpool option wrong"
"2021-05-03",,,"reaction from blossoms after last night's pilot music festival in #liverpool!   5,000 people descended on sefton park with performances also from @thelathums and @thisiszuzu   https://t.co/g9qh7zvpj3",,,ENTERTAINMENT,"reaction blossom last night pilot music festival liverpool   people descended sefton park performance also thelathums thisiszuzu"
"2021-05-03",,,"reaction from blossoms after last night's pilot music festival in #liverpool!   5,000 people descended on sefton park with performances also from @thelathums and @thisiszuzu",,,ENTERTAINMENT,"reaction blossom last night pilot music festival liverpool   people descended sefton park performance also thelathums thisiszuzu"
"2021-05-03",,,"i know some disagree with the pilots and others are apprehensive but i’ve loved watching the footage from liverpool this weekend. makes you realise what we are missing. everyone looks so happy and carefree. it’s great 😁",,,TRAVEL,"know disagree pilot others apprehensive loved watching footage liverpool weekend make realise missing everyone look happy carefree great"
"2021-05-02",,,"give it two or three weeks and we'll see a surge in new cases.....‘we are ecstatic!’: a taste of post-covid freedom at liverpool pilot gig  https://t.co/voyxambzwi",,,"QUEER VOICES","give two three week see surge new case ecstatic taste post covid freedom liverpool pilot gig"
"2021-05-02",,," https://t.co/njthxzcokl see photos, footage and reaction from blossoms’ pilot gig in liverpool  https://t.co/d42vmujbtd",,,WORLDPOST,"see photo footage reaction blossom pilot gig liverpool"
"2021-05-02",,,"scenes from the liverpool pilot making me emotional. 🙏🏻 let us get back to live music and events soon",,,ENTERTAINMENT,"scene liverpool pilot making emotional let u get back live music event soon"
"2021-05-02",,,"""it was crazy queuing for a portaloo standing next to someone unmasked..."" @bbcnews on the pilot gig in liverpool today. this is 2021 and what we've all got to look forward to as lockdown eases!",,,ENTERTAINMENT,"crazy queuing portaloo standing next someone unmasked bbcnews pilot gig liverpool today  got look forward lockdown eas"
"2021-05-02",,,"see photos, footage and reaction from blossoms’ pilot gig in liverpool  https://t.co/tvttiifz2y",,,WORLDPOST,"see photo footage reaction blossom pilot gig liverpool"
"2021-05-02",,,"#musicnews #news see photos, footage and reaction from blossoms’ pilot gig in liverpool  https://t.co/vvqaij4d0r",,,WORLDPOST,"musicnews news see photo footage reaction blossom pilot gig liverpool"
"2021-05-02",,,"see photos, footage and reaction from blossoms’ pilot gig in liverpool  https://t.co/tkqzponxao #music #streamingvideo #stageplayerplus",,,ENTERTAINMENT,"see photo footage reaction blossom pilot gig liverpool music streamingvideo stageplayerplus"
"2021-05-02",,,"wow...and just like that, nightlife returns to liverpool through a pilot ‘pre-event’ test 🎫",,,"QUEER VOICES","wow like nightlife return liverpool pilot pre event test"
"2021-05-02",,,"i take my hat off for the university and public health team in liverpool who were behind the events this weekend.   this team has been working tireless in the last many months on various pilot (testing) programmes.    https://t.co/lisnndlyva",,,WELLNESS,"take hat university public health team liverpool behind event weekend team working tireless last many month various pilot testing programme"
"2021-05-02",,,"in the last few days we have seen a lot of shouting on twitter about the pilot music events in liverpool....  scientists and health researchers have been up in arms....  in my view it is time to calm down and support this work.  https://t.co/r1abprihge",,,WELLNESS,"last day seen lot shouting twitter pilot music event liverpool scientist health researcher arm view time calm support work"
"2021-05-02","https://pbs.twimg.com/media/E0ZVtmfWEAEYr-z.jpg","Latino_Hispanic Black East Asian Southeast Asian White","in the last few days we have seen a lot of shouting on twitter about the pilot music events in liverpool....  scientists and health researchers have been up in arms....  in my view it is time to calm down and support this work.  https://t.co/r1abprihge",,,WELLNESS,"last day seen lot shouting twitter pilot music event liverpool scientist health researcher arm view time calm support work"
"2021-05-02",,,"i’m really hoping these live music pilots in liverpool are successful. great to see crowds enjoying live music, and will be a real boost to the industry.",,,ENTERTAINMENT,"really hoping live music pilot liverpool successful great see crowd enjoying live music real boost industry"
"2021-05-02",,,"team #liverpool strikes again. the passion and determination from claire @culturelpool and all involved in delivering these crucial pilot events has shone yet another great light on our city. history made yet again 👏🏻❤️",,,SPORTS,"team liverpool strike passion determination claire culturelpool involved delivering crucial pilot event shone yet another great light city history made yet"
"2021-05-02",,,"liverpool! beautiful to see the scenes for our girl @thisiszuzu at the pilot event tonight. if you're there or wishing to be and it's wet your appetite, later this year we bring you two of liverpool's finest new bands @redrumclub &amp; @themysterines. tickets:  https://t.co/d7fukeshy6  https://t.co/qhuf25xj5l",,,ENTERTAINMENT,"liverpool beautiful see scene girl thisiszuzu pilot event tonight wishing wet appetite later year bring two liverpool finest new band redrumclub amp themysterines ticket"
"2021-05-02","https://pbs.twimg.com/media/E0Z3eiaWUAc8lME.jpg","White Middle Eastern","liverpool! beautiful to see the scenes for our girl @thisiszuzu at the pilot event tonight. if you're there or wishing to be and it's wet your appetite, later this year we bring you two of liverpool's finest new bands @redrumclub &amp; @themysterines. tickets:  https://t.co/d7fukeshy6  https://t.co/qhuf25xj5l",,,ENTERTAINMENT,"liverpool beautiful see scene girl thisiszuzu pilot event tonight wishing wet appetite later year bring two liverpool finest new band redrumclub amp themysterines ticket"
"2021-05-02",,,"⭕️ ryans cleaning ⭕️   we are delighted to be back working at music events in the uk again and are honoured to be part of the sefton park pilot in liverpool 😀  we’ll keep you posted on the event 😀  #ryanscleaning #seftonparkpilot  https://t.co/clvevoqzuw",,,ENTERTAINMENT,"ryans cleaning delighted back working music event uk honoured part sefton park pilot liverpool keep posted event ryanscleaning seftonparkpilot"
"2021-05-02","https://pbs.twimg.com/media/E0ZxQkjWYAIcO0f.jpg","White East Asian Black Middle Eastern","⭕️ ryans cleaning ⭕️   we are delighted to be back working at music events in the uk again and are honoured to be part of the sefton park pilot in liverpool 😀  we’ll keep you posted on the event 😀  #ryanscleaning #seftonparkpilot  https://t.co/clvevoqzuw",,,ENTERTAINMENT,"ryans cleaning delighted back working music event uk honoured part sefton park pilot liverpool keep posted event ryanscleaning seftonparkpilot"
"2021-05-02","https://pbs.twimg.com/media/E0ZxQkRWEAIypvH.jpg","Middle Eastern White","⭕️ ryans cleaning ⭕️   we are delighted to be back working at music events in the uk again and are honoured to be part of the sefton park pilot in liverpool 😀  we’ll keep you posted on the event 😀  #ryanscleaning #seftonparkpilot  https://t.co/clvevoqzuw",,,ENTERTAINMENT,"ryans cleaning delighted back working music event uk honoured part sefton park pilot liverpool keep posted event ryanscleaning seftonparkpilot"
"2021-05-02","https://pbs.twimg.com/media/E0ZxQizXEAQt-kX.jpg","White Middle Eastern Black Latino_Hispanic","⭕️ ryans cleaning ⭕️   we are delighted to be back working at music events in the uk again and are honoured to be part of the sefton park pilot in liverpool 😀  we’ll keep you posted on the event 😀  #ryanscleaning #seftonparkpilot  https://t.co/clvevoqzuw",,,ENTERTAINMENT,"ryans cleaning delighted back working music event uk honoured part sefton park pilot liverpool keep posted event ryanscleaning seftonparkpilot"
"2021-05-02",,,"liverpool clubbing pilot, bbc news at ten, 30th apr 2021  https://t.co/re0r5vi4nm via @youtube this is our piece for the bbc news at ten with @danjohnsonnews and @brijeshp - what a day - who’d have thought we’d be reporting on a nightclub event - times have changed",,,TRAVEL,"liverpool clubbing pilot bbc news ten th apr  via youtube piece bbc news ten danjohnsonnews brijeshp day thought reporting nightclub event time changed"
"2021-05-02",,,"anyway, enough of that. huge good luck to @blossomsband @thelathums  and @thisiszuzu at the liverpool pilot gig tonight. we’re so nearly back!",,,ENTERTAINMENT,"anyway enough huge good luck blossomsband thelathums thisiszuzu liverpool pilot gig tonight nearly back"
"2021-05-02",,,"“if ever there is a reinforcement that liverpool was a city of music, this really is it” 🎶🌇  melvin benn is md of @frfestivals and says by learning from the pilot we’ll see the likes of @officialrandl and @glastonbury happening again as normal. 🎪  @culturelpool/ @lpoolcouncil  https://t.co/hamqv0m0fm",,,ENTERTAINMENT,"ever reinforcement liverpool city music really melvin benn md frfestivals say learning pilot see like officialrandl glastonbury happening normal culturelpool lpoolcouncil"
"2021-05-02",,,"djs get the crowd warmed up ahead of tonight's acts coming on at sefton park. as part of the live event pilot you don't have to wear a mask and there is no social distancing. #liverpool #seftonpark #pilotevent #livemusic  https://t.co/63gn2wd3bw",,,ENTERTAINMENT,"dj get crowd warmed ahead tonight act coming sefton park part live event pilot wear mask social distancing liverpool seftonpark pilotevent livemusic"
"2021-05-02",,,"worth remembering how reluctant the snp have been on mass testing. last summer they closed a testing lab. they refused to test students and at airports. they criticised the liverpool pilot. they have been grumpily following, not leading.",,,POLITICS,"worth remembering reluctant snp mass testing last summer closed testing lab refused test student airport criticised liverpool pilot grumpily following leading"
"2021-05-02",,,"is there any pilot events in scotland like there are elsewhere to see impact on covid restrictions, like few 1000 fans in stadiums or like nightclub in liverpool. we are being restricted and we need @thesnp to stop treating us like kids. open up and get us back on track",,,TRAVEL,"pilot event scotland like elsewhere see impact covid restriction like  fan stadium like nightclub liverpool restricted need thesnp stop treating u like kid open get u back track"
"2021-05-02",,,"doors have opened in liverpool for the sefton park pilot, the first live music event to take place without any social distancing measures!  later @thisiszuzu @thelathums and @blossomsband will all perform ❤️  https://t.co/nmhue3oxkm",,,ENTERTAINMENT,"door opened liverpool sefton park pilot first live music event take place without social distancing measure later thisiszuzu thelathums blossomsband perform"
"2021-05-02",,,"great to see pilot mass gatherings being held in liverpool over the past couple of days and in manchester today. hope in these tough times  https://t.co/qooflsnstn",,,"WORLD NEWS","great see pilot mass gathering held liverpool past couple day manchester today hope tough time"
"2021-05-02",,,"#larklane is a crazy, vibrant place to be today! hoping the @blossomsband pilot gig goes brilliantly, and the test events in #liverpool prove to be safe. i ❤️ blossoms and as it’s on my doorstep, i’ll be dancing around/soaking up the atmosphere too! x #seftonpark #loveliverpool",,,TRAVEL,"larklane crazy vibrant place today hoping blossomsband pilot gig go brilliantly test event liverpool prove safe blossom doorstep dancing around soaking atmosphere x seftonpark loveliverpool"
"2021-05-02",,,"blossoms pilot gig tonight! we are very jealous. how much do you think it will affect events like r&amp;l and the chances of them going ahead this year? #randl21 #readingfestival #leedsfestival #liverpool #blossoms  https://t.co/ihci8oydik",,,ENTERTAINMENT,"blossom pilot gig tonight jealous much think affect event like r amp l chance going ahead year randl readingfestival leedsfestival liverpool blossom"
"2021-05-02","https://pbs.twimg.com/media/E0ZCyMhWUAAPAy3.jpg","White Middle Eastern","blossoms pilot gig tonight! we are very jealous. how much do you think it will affect events like r&amp;l and the chances of them going ahead this year? #randl21 #readingfestival #leedsfestival #liverpool #blossoms  https://t.co/ihci8oydik",,,ENTERTAINMENT,"blossom pilot gig tonight jealous much think affect event like r amp l chance going ahead year randl readingfestival leedsfestival liverpool blossom"
"2021-05-02",,,"wishing good fortune (and good weather!) to friends and colleagues involved in this festival pilot event today in liverpool! a huge step for opening up our industry. 🤞🏼",,,IMPACT,"wishing good fortune good weather friend colleague involved festival pilot event today liverpool huge step opening industry"
"2021-05-02",,,"so jealous but also so happy for the people of liverpool this weekend. the pilot events looked unreal and i honestly cant wait till we can all dance again 😭",,,TRAVEL,"jealous also happy people liverpool weekend pilot event looked unreal honestly cant wait till dance"
"2021-05-02",,,"#events | we are chuffed to be able to help get the events sector back up and running with the pilot event today with @frfestivals @lpoolcouncil + we know you will do us proud #liverpool - so remember, help us keep the park clean by taking your litter home ♻️ 🚯 #hereforculture  https://t.co/yfyg0g5mc9",,,IMPACT,"event chuffed able help get event sector back running pilot event today frfestivals lpoolcouncil know u proud liverpool remember help u keep park clean taking litter home hereforculture"
"2021-05-02","https://pbs.twimg.com/media/E0YWF_aWUAYcn6A.jpg","White East Asian","#events | we are chuffed to be able to help get the events sector back up and running with the pilot event today with @frfestivals @lpoolcouncil + we know you will do us proud #liverpool - so remember, help us keep the park clean by taking your litter home ♻️ 🚯 #hereforculture  https://t.co/yfyg0g5mc9",,,IMPACT,"event chuffed able help get event sector back running pilot event today frfestivals lpoolcouncil know u proud liverpool remember help u keep park clean taking litter home hereforculture"
"2021-05-02",,,"listen to @thelathums practicing for the #liverpool pilot gig tonight at #seftonpark. it'll be a taste of pre-covid life and will shape what festivals will look like in the future. alex on the ukulele wrote 'how beautiful life can be' with his mum in lockdown. 🎶💕  https://t.co/yg11nhg3bo",,,ENTERTAINMENT,"listen thelathums practicing liverpool pilot gig tonight seftonpark taste pre covid life shape festival look like future alex ukulele wrote beautiful life mum lockdown"
"2021-05-02",,,"@benpearcedj i understand that liverpool has had the ‘big names’ on for the pilot events but,what’s annoyed me more than anything,all these artists shouting unity this and that,so where have the local talent come into this,the upcomers, the djs who had it going until covid and were forgotten",,,TRAVEL,"benpearcedj understand liverpool big name pilot event annoyed anything artist shouting unity local talent come upcomers dj going covid forgotten"
"2021-05-02",,,"see footage of the blessed madonna and jayda g at liverpool pilot club event 🙌 superb seeing young people back out enjoying themselves 🙌  https://t.co/7jzwfzlu88",,,ENTERTAINMENT,"see footage blessed madonna jayda g liverpool pilot club event superb seeing young people back enjoying"
"2021-05-02",,,"pilot event in liverpool last night has created the covid 19 after party theme tune that will have the clubs and bars feeling nostalgic when we are eventually through this all. amazing @tez_g @limelightni @garysnowpatrol #excludedni #you’re  https://t.co/pe2pobkgqk",,,TRAVEL,"pilot event liverpool last night created covid  party theme tune club bar feeling nostalgic eventually amazing tez_g limelightni garysnowpatrol excludedni"
"2021-05-02",,,"i would personally hand over my tit for a pilot rave like liverpool, never seen such happiness and vibes like it",,,ENTERTAINMENT,"would personally hand tit pilot rave like liverpool never seen happiness vibe like"
"2021-05-02",,,"❤️ how good is sefton park #liverpool looking ahead of this afternoon’s gig?@blossomsband @thisiszuzu and @thelathums on stage at the latest #covid pilot test event.   if you’re going... enjoy! 🕺💃🎶 https://t.co/d9ywowx3ex",,,ENTERTAINMENT,"good sefton park liverpool looking ahead afternoon gig blossomsband thisiszuzu thelathums stage latest covid pilot test event going enjoy"
"2021-05-02",,,"wishing our friends @blossomsband and everyone involved in the pilot show in liverpool today the very best! it feels like special moment.",,,"GOOD NEWS","wishing friend blossomsband everyone involved pilot show liverpool today best feel like special moment"
"2021-05-02",,,"unreal scenes coming out @circusmusic liverpool this weekend for their pioneering pilot events 💯😍 looked amazing and helping the industry get back on it's feet ❤️  track id @patrick_topping - turbo time ⚡️  https://t.co/sehlpj1g9f",,,TRAVEL,"unreal scene coming circusmusic liverpool weekend pioneering pilot event looked amazing helping industry get back foot track id patrick_topping turbo time"
"2021-05-02",,,"we’ve had a business conference and a club event, now it’s the turn of live music, festival style 🎶 blossoms headline this sefton park stage today, all part of the uk event pilots in liverpool. normality feels closer than ever ☀️  🎥 @stratusimagery    https://t.co/ejyrgf0oop",,,ENTERTAINMENT,"business conference club event turn live music festival style blossom headline sefton park stage today part uk event pilot liverpool normality feel closer ever stratusimagery"
"2021-05-02",,,"really positive to see the successful business and public event pilots this week in liverpool. great news for our events and hospitality clients. #goodbizfest #thefirstdance #events #hospitality  https://t.co/ij5xrtal7t",,,BUSINESS,"really positive see successful business public event pilot week liverpool great news event hospitality client goodbizfest thefirstdance event hospitality"
"2021-05-02","https://pbs.twimg.com/media/E0XOYJTX0AErzHR.jpg","East Asian Southeast Asian","really positive to see the successful business and public event pilots this week in liverpool. great news for our events and hospitality clients. #goodbizfest #thefirstdance #events #hospitality  https://t.co/ij5xrtal7t",,,BUSINESS,"really positive see successful business public event pilot week liverpool great news event hospitality client goodbizfest thefirstdance event hospitality"
"2021-05-02",,,"► video: thousands of clubbers have ditched their masks and returned to the dancefloor at a uk government-backed rave in liverpool as part of a pilot scheme for reopening venues  https://t.co/1fwndtslh6  https://t.co/7rmlei2s8y",,,"WORLD NEWS","video thousand clubbers ditched mask returned dancefloor uk government backed rave liverpool part pilot scheme reopening venue"
"2021-05-02","https://pbs.twimg.com/media/E0W6i1DWEAIB2gD.jpg","White Middle Eastern Latino_Hispanic","► video: thousands of clubbers have ditched their masks and returned to the dancefloor at a uk government-backed rave in liverpool as part of a pilot scheme for reopening venues  https://t.co/1fwndtslh6  https://t.co/7rmlei2s8y",,,"WORLD NEWS","video thousand clubbers ditched mask returned dancefloor uk government backed rave liverpool part pilot scheme reopening venue"
"2021-05-01",,,"dispatch from liverpool: a government-approved pilot event to analyze ""the health and safety of easing lockdown restrictions and reopening large-scale cultural events."" and a kick-ass rave.  https://t.co/zyw9ebvivy",,,"WORLD NEWS","dispatch liverpool government approved pilot event analyze health safety easing lockdown restriction reopening large scale cultural event kick as rave"
"2021-05-01",,,"@sebastianbach last night in the uk, liverpool held a massive club night, 3000 people attended. no restrictions. it was a pilot event and the only requirement was a negative covid test on entry. might be diff rules in the states when things start to open up but i'm hopeful it'll happen somehow",,,SPORTS,"sebastianbach last night uk liverpool held massive club night  people attended restriction pilot event requirement negative covid test entry might diff rule state thing start open hopeful happen somehow"
"2021-05-01",,,"the main thing throughout this no debate why pilot anything in liverpool because they were the courageous no masks no tests and lets get back to our new life without corrupt leaders",,,POLITICS,"main thing throughout debate pilot anything liverpool courageous mask test let get back new life without corrupt leader"
"2021-05-01",,,"latest r and growth rate for england: 0.8 to 1.1   ‘clubbers return to the dancefloor in liverpool as 3,000 attend pilot event'  #marr #r4today  #liverpool    https://t.co/i0mkwlrkkv",,,SPORTS,"latest r growth rate england     clubbers return dancefloor liverpool   attend pilot event marr rtoday liverpool"
"2021-05-01",,,"@fascinatorfun @i_petersen @zubhaque @chrischirp i live within earshot of these events and the voluntary aspect of the pcr tests really make me question what exactly the pilot is meant to be studying.  unless of course the real results are the impact on the levels of covid in liverpool, which is potentially awful.",,,WELLNESS,"fascinatorfun i_petersen zubhaque chrischirp live within earshot event voluntary aspect pcr test really make question exactly pilot meant studying unless course real result impact level covid liverpool potentially awful"
"2021-05-01",,,"@borisjohnson and now you allow a pilot club to open its doors to thousands in liverpool, all without masks!!!! just wait a few mire weeks and get this under control!! or is it ""let the bodies pile up"" attitude?",,,TRAVEL,"borisjohnson allow pilot club open door thousand liverpool without mask wait mire week get control let body pile attitude"
"2021-05-01",,,"people moaning about this liverpool rave pilot need to seriously check themselves. comparing it to “not seeing family” and people “on the front line” just go see your family if you want you weird bunch. my only complaint is that they gave it to scousers first",,,TRAVEL,"people moaning liverpool rave pilot need seriously check comparing seeing family people front line go see family want weird bunch complaint gave scouser first"
"2021-05-01",,,"what you need to know about the pilot events in liverpool.  although i worry about reopening, efforts to find out how we can safely return to life affirming events such as live music and festivals are desperately needed.   https://t.co/hunn8gapck",,,WELLNESS,"need know pilot event liverpool although worry reopening effort find safely return life affirming event live music festival desperately needed"
"2021-05-01",,,"#events | the eyes of the world are on #liverpool as we, along with other key cities, showcase how we can safely operate events. if you're attending a #pilot event, please make sure you follow all #covid safety guidelines on your way to and from any event #inthistogether 😷  https://t.co/gdkbffmgkm",,,TRAVEL,"event eye world liverpool along key city showcase safely operate event attending pilot event please make sure follow covid safety guideline way event inthistogether"
